Symbol,Side,Qty,Fill Price,Commission,Closing Time
NASDAQ:PYPL,Buy,2,62.28,0,2025-12-08 20:59:00
NASDAQ:CPRT,Buy,3,38.72,0,2025-12-08 20:59:00
NYSE:ZTS,Buy,1,118.65,0,2025-12-08 20:59:00
NASDAQ:CMCSA,Buy,5,27.31,0,2025-12-08 20:59:00
NYSE:GDDY,Buy,1,128.46,0,2025-12-08 20:59:00
NASDAQ:CHTR,Buy,1,205.07,0,2025-12-08 14:30:00
NYSE:GIS,Buy,6,47.35,0,2025-12-01 14:30:00
NASDAQ:TTD,Buy,7,39.56,0,2025-12-01 14:30:00
NASDAQ:ODFL,Buy,2,135.29,0,2025-12-01 14:30:00
NYSE:GDDY,Buy,2,127.86,0,2025-12-01 14:30:00
NYSE:MSI,Buy,1,369.68,0,2025-12-01 14:30:00
NYSE:CRM,Buy,1,230.54,0,2025-12-01 14:30:00
NASDAQ:PYPL,Buy,4,60.57,0,2025-11-24 14:30:00
NYSE:MSI,Buy,1,368.99,0,2025-11-24 14:30:00
NYSE:CRM,Buy,1,227.11,0,2025-11-24 14:30:00
NASDAQ:CHTR,Buy,1,203,0,2025-11-24 14:30:00
NASDAQ:ADBE,Buy,1,324.19,0,2025-11-24 14:30:00
NYSE:ZTS,Buy,2,122.06,0,2025-11-24 14:30:00
NASDAQ:FISV,Buy,4,63.8,0,2025-11-17 14:30:00
NASDAQ:CMCSA,Buy,9,27.51,0,2025-11-17 14:30:00
NASDAQ:CHTR,Buy,1,203.1,0,2025-11-17 14:30:00
NASDAQ:CPRT,Buy,6,41.08,0,2025-11-17 14:30:00
NYSE:ZTS,Buy,2,120.82,0,2025-11-17 14:30:00
NASDAQ:ADBE,Buy,1,331.11,0,2025-11-17 14:30:00
NYSE:CMG,Buy,8,30.59,0,2025-11-10 14:30:00
NYSE:CRM,Buy,1,239.88,0,2025-11-10 14:30:00
NASDAQ:FISV,Buy,4,63.7,0,2025-11-10 14:30:00
NASDAQ:CHTR,Buy,1,219.86,0,2025-11-10 14:30:00
NYSE:ZTS,Buy,2,120.23,0,2025-11-10 14:30:00
NASDAQ:ADBE,Buy,1,326.95,0,2025-11-10 14:30:00
NASDAQ:CMCSA,Buy,9,27.84,0,2025-11-03 14:30:00
NYSE:STZ,Buy,2,131.38,0,2025-11-03 14:30:00
NYSE:CMG,Buy,8,31.69,0,2025-11-03 14:30:00
NASDAQ:FISV,Buy,4,66.69,0,2025-11-03 14:30:00
NASDAQ:CHTR,Buy,1,233.84,0,2025-11-03 14:30:00
NASDAQ:ADBE,Buy,1,340.31,0,2025-11-03 14:30:00
NYSE:KVUE,Buy,11,15,0,2025-10-27 13:30:00
NASDAQ:CMCSA,Buy,6,29.28,0,2025-10-27 13:30:00
NYSE:OKE,Buy,2,68.61,0,2025-10-27 13:30:00
NASDAQ:CHTR,Buy,1,244.2,0,2025-10-27 13:30:00
NYSE:CMG,Buy,4,41.19,0,2025-10-27 13:30:00
NASDAQ:FISV,Buy,1,125.17,0,2025-10-27 13:30:00
NASDAQ:ODFL,Buy,2,138.04,0,2025-10-20 13:30:00
NYSE:OKE,Buy,4,68.09,0,2025-10-20 13:30:00
NYSE:ACN,Buy,1,238.39,0,2025-10-20 13:30:00
NASDAQ:CMCSA,Buy,9,29.54,0,2025-10-20 13:30:00
NASDAQ:FISV,Buy,2,121.65,0,2025-10-20 13:30:00
NASDAQ:ADBE,Buy,1,333.26,0,2025-10-20 13:30:00
NYSE:SLB,Buy,9,31.72,0,2025-10-13 13:30:00
NYSE:OKE,Buy,4,69.09,0,2025-10-13 13:30:00
NASDAQ:FISV,Buy,2,122.63,0,2025-10-13 13:30:00
NASDAQ:CMCSA,Buy,9,29.46,0,2025-10-13 13:30:00
NASDAQ:ADBE,Buy,1,337.51,0,2025-10-13 13:30:00
NYSE:ACN,Buy,1,240.94,0,2025-10-13 13:30:00
NASDAQ:ERIE,Buy,1,319.16,0,2025-10-06 13:30:00
NYSE:GIS,Buy,6,50.36,0,2025-10-06 13:30:00
NASDAQ:ODFL,Buy,2,141.33,0,2025-10-06 13:30:00
NYSE:ACN,Buy,1,245.32,0,2025-10-06 13:30:00
NASDAQ:FISV,Buy,2,127.56,0,2025-10-06 13:30:00
NASDAQ:ADBE,Buy,1,346.74,0,2025-10-06 13:30:00
NASDAQ:FISV,Buy,2,129.56,0,2025-09-29 13:30:00
NYSE:FCX,Buy,7,35.75,0,2025-09-29 13:30:00
NYSE:DHR,Buy,1,184.84,0,2025-09-29 13:30:00
NYSE:CMG,Buy,6,40.08,0,2025-09-29 13:30:00
NASDAQ:ADBE,Buy,1,360.37,0,2025-09-29 13:30:00
NYSE:ACN,Buy,1,238.97,0,2025-09-29 13:30:00
NASDAQ:ODFL,Buy,2,139.17,0,2025-09-22 13:30:00
NYSE:DHR,Buy,1,190.64,0,2025-09-22 13:30:00
NYSE:CMG,Buy,7,39.89,0,2025-09-22 13:30:00
NYSE:ACN,Buy,1,239.53,0,2025-09-22 13:30:00
NASDAQ:FISV,Buy,2,129.92,0,2025-09-22 13:30:00
NASDAQ:ADBE,Buy,1,363.1,0,2025-09-22 13:30:00
NYSE:GIS,Buy,4,45.89,0,2025-09-15 13:30:00
NYSE:UPS,Buy,2,84.18,0,2025-09-15 13:30:00
NASDAQ:ODFL,Buy,1,141.79,0,2025-09-15 13:30:00
NYSE:DHR,Buy,1,192.94,0,2025-09-15 13:30:00
NYSE:CMG,Buy,5,39.67,0,2025-09-15 13:30:00
NYSE:ACN,Buy,1,241.24,0,2025-09-15 13:30:00
$CASH,Withdrawal,50000,,,2025-12-08 21:00:55
$CASH,Deposit,50000,,,2025-12-08 21:00:55
$CASH,Deposit,50000,,,2025-09-12 00:00:00
NYSE:FCX,Dividend,1.050000042,,,2025-11-03 00:00:00
NYSE:GIS,Dividend,2.440000056,,,2025-11-03 00:00:00
NYSE:UPS,Dividend,3.27999998,,,2025-12-04 00:00:00
NYSE:ACN,Dividend,4.89,,,2025-11-14 00:00:00
NYSE:DHR,Dividend,0.639999986,,,2025-10-31 00:00:00
NYSE:KVUE,Dividend,2.282499956,,,2025-11-26 00:00:00
NYSE:OKE,Dividend,10.2999997,,,2025-11-14 00:00:00